STATE,COUNTY,FIPS,NAICS2017,NAICS2017_LABEL,est_beds,est_patients
1,3,01003,6233,Continuing care retirement communities and assisted living facilities for the elderly,889,724
1,9,01009,6233,Continuing care retirement communities and assisted living facilities for the elderly,101,82
1,13,01013,6233,Continuing care retirement communities and assisted living facilities for the elderly,76,62
1,15,01015,6233,Continuing care retirement communities and assisted living facilities for the elderly,135,110
1,17,01017,6233,Continuing care retirement communities and assisted living facilities for the elderly,105,86
1,31,01031,6233,Continuing care retirement communities and assisted living facilities for the elderly,78,64
1,33,01033,6233,Continuing care retirement communities and assisted living facilities for the elderly,121,99
1,43,01043,6233,Continuing care retirement communities and assisted living facilities for the elderly,224,182
1,49,01049,6233,Continuing care retirement communities and assisted living facilities for the elderly,72,59
1,53,01053,6233,Continuing care retirement communities and assisted living facilities for the elderly,44,36
1,55,01055,6233,Continuing care retirement communities and assisted living facilities for the elderly,87,71
1,57,01057,6233,Continuing care retirement communities and assisted living facilities for the elderly,51,42
1,61,01061,6233,Continuing care retirement communities and assisted living facilities for the elderly,40,33
1,69,01069,6233,Continuing care retirement communities and assisted living facilities for the elderly,327,266
1,73,01073,6233,Continuing care retirement communities and assisted living facilities for the elderly,2439,1987
1,77,01077,6233,Continuing care retirement communities and assisted living facilities for the elderly,96,78
1,81,01081,6233,Continuing care retirement communities and assisted living facilities for the elderly,158,129
1,83,01083,6233,Continuing care retirement communities and assisted living facilities for the elderly,146,119
1,89,01089,6233,Continuing care retirement communities and assisted living facilities for the elderly,1143,931
1,93,01093,6233,Continuing care retirement communities and assisted living facilities for the elderly,82,67
1,97,01097,6233,Continuing care retirement communities and assisted living facilities for the elderly,533,434
1,101,01101,6233,Continuing care retirement communities and assisted living facilities for the elderly,459,374
1,103,01103,6233,Continuing care retirement communities and assisted living facilities for the elderly,175,143
1,117,01117,6233,Continuing care retirement communities and assisted living facilities for the elderly,235,191
1,121,01121,6233,Continuing care retirement communities and assisted living facilities for the elderly,30,24
1,125,01125,6233,Continuing care retirement communities and assisted living facilities for the elderly,357,291
2,20,02020,6233,Continuing care retirement communities and assisted living facilities for the elderly,1262,1028
2,90,02090,6233,Continuing care retirement communities and assisted living facilities for the elderly,178,145
2,122,02122,6233,Continuing care retirement communities and assisted living facilities for the elderly,386,314
2,170,02170,6233,Continuing care retirement communities and assisted living facilities for the elderly,373,304
4,1,04001,6233,Continuing care retirement communities and assisted living facilities for the elderly,102,83
4,3,04003,6233,Continuing care retirement communities and assisted living facilities for the elderly,178,145
4,5,04005,6233,Continuing care retirement communities and assisted living facilities for the elderly,302,246
4,7,04007,6233,Continuing care retirement communities and assisted living facilities for the elderly,51,42
4,13,04013,6233,Continuing care retirement communities and assisted living facilities for the elderly,17741,14453
4,15,04015,6233,Continuing care retirement communities and assisted living facilities for the elderly,485,395
4,17,04017,6233,Continuing care retirement communities and assisted living facilities for the elderly,55,45
4,19,04019,6233,Continuing care retirement communities and assisted living facilities for the elderly,4371,3561
4,21,04021,6233,Continuing care retirement communities and assisted living facilities for the elderly,340,277
4,23,04023,6233,Continuing care retirement communities and assisted living facilities for the elderly,12,10
4,25,04025,6233,Continuing care retirement communities and assisted living facilities for the elderly,811,661
4,27,04027,6233,Continuing care retirement communities and assisted living facilities for the elderly,153,125
5,3,05003,6233,Continuing care retirement communities and assisted living facilities for the elderly,87,71
5,5,05005,6233,Continuing care retirement communities and assisted living facilities for the elderly,347,283
5,7,05007,6233,Continuing care retirement communities and assisted living facilities for the elderly,755,615
5,9,05009,6233,Continuing care retirement communities and assisted living facilities for the elderly,77,63
5,17,05017,6233,Continuing care retirement communities and assisted living facilities for the elderly,19,15
5,23,05023,6233,Continuing care retirement communities and assisted living facilities for the elderly,101,82
5,31,05031,6233,Continuing care retirement communities and assisted living facilities for the elderly,251,204
5,33,05033,6233,Continuing care retirement communities and assisted living facilities for the elderly,199,162
5,45,05045,6233,Continuing care retirement communities and assisted living facilities for the elderly,228,186
5,51,05051,6233,Continuing care retirement communities and assisted living facilities for the elderly,846,689
5,63,05063,6233,Continuing care retirement communities and assisted living facilities for the elderly,497,405
5,69,05069,6233,Continuing care retirement communities and assisted living facilities for the elderly,364,297
5,91,05091,6233,Continuing care retirement communities and assisted living facilities for the elderly,66,54
5,115,05115,6233,Continuing care retirement communities and assisted living facilities for the elderly,633,516
5,119,05119,6233,Continuing care retirement communities and assisted living facilities for the elderly,1288,1049
5,125,05125,6233,Continuing care retirement communities and assisted living facilities for the elderly,391,319
5,131,05131,6233,Continuing care retirement communities and assisted living facilities for the elderly,445,363
5,143,05143,6233,Continuing care retirement communities and assisted living facilities for the elderly,607,495
6,1,06001,6233,Continuing care retirement communities and assisted living facilities for the elderly,7270,5923
6,5,06005,6233,Continuing care retirement communities and assisted living facilities for the elderly,157,128
6,7,06007,6233,Continuing care retirement communities and assisted living facilities for the elderly,1042,849
6,13,06013,6233,Continuing care retirement communities and assisted living facilities for the elderly,5013,4084
6,17,06017,6233,Continuing care retirement communities and assisted living facilities for the elderly,995,811
6,19,06019,6233,Continuing care retirement communities and assisted living facilities for the elderly,3405,2774
6,23,06023,6233,Continuing care retirement communities and assisted living facilities for the elderly,509,415
6,25,06025,6233,Continuing care retirement communities and assisted living facilities for the elderly,159,130
6,29,06029,6233,Continuing care retirement communities and assisted living facilities for the elderly,1605,1308
6,31,06031,6233,Continuing care retirement communities and assisted living facilities for the elderly,134,109
6,33,06033,6233,Continuing care retirement communities and assisted living facilities for the elderly,79,64
6,37,06037,6233,Continuing care retirement communities and assisted living facilities for the elderly,24755,20167
6,39,06039,6233,Continuing care retirement communities and assisted living facilities for the elderly,39,32
6,41,06041,6233,Continuing care retirement communities and assisted living facilities for the elderly,2179,1775
6,45,06045,6233,Continuing care retirement communities and assisted living facilities for the elderly,180,147
6,47,06047,6233,Continuing care retirement communities and assisted living facilities for the elderly,344,280
6,53,06053,6233,Continuing care retirement communities and assisted living facilities for the elderly,1256,1023
6,55,06055,6233,Continuing care retirement communities and assisted living facilities for the elderly,868,707
6,57,06057,6233,Continuing care retirement communities and assisted living facilities for the elderly,373,304
6,59,06059,6233,Continuing care retirement communities and assisted living facilities for the elderly,13734,11189
6,61,06061,6233,Continuing care retirement communities and assisted living facilities for the elderly,1902,1550
6,65,06065,6233,Continuing care retirement communities and assisted living facilities for the elderly,5856,4771
6,67,06067,6233,Continuing care retirement communities and assisted living facilities for the elderly,6490,5287
6,69,06069,6233,Continuing care retirement communities and assisted living facilities for the elderly,9,7
6,71,06071,6233,Continuing care retirement communities and assisted living facilities for the elderly,4415,3597
6,73,06073,6233,Continuing care retirement communities and assisted living facilities for the elderly,16625,13544
6,75,06075,6233,Continuing care retirement communities and assisted living facilities for the elderly,2920,2379
6,77,06077,6233,Continuing care retirement communities and assisted living facilities for the elderly,2350,1914
6,79,06079,6233,Continuing care retirement communities and assisted living facilities for the elderly,959,781
6,81,06081,6233,Continuing care retirement communities and assisted living facilities for the elderly,3285,2676
6,83,06083,6233,Continuing care retirement communities and assisted living facilities for the elderly,3009,2451
6,85,06085,6233,Continuing care retirement communities and assisted living facilities for the elderly,7712,6283
6,87,06087,6233,Continuing care retirement communities and assisted living facilities for the elderly,583,475
6,89,06089,6233,Continuing care retirement communities and assisted living facilities for the elderly,897,731
6,93,06093,6233,Continuing care retirement communities and assisted living facilities for the elderly,113,92
6,95,06095,6233,Continuing care retirement communities and assisted living facilities for the elderly,1614,1315
6,97,06097,6233,Continuing care retirement communities and assisted living facilities for the elderly,3487,2841
6,99,06099,6233,Continuing care retirement communities and assisted living facilities for the elderly,1866,1520
6,101,06101,6233,Continuing care retirement communities and assisted living facilities for the elderly,433,353
6,103,06103,6233,Continuing care retirement communities and assisted living facilities for the elderly,77,63
6,107,06107,6233,Continuing care retirement communities and assisted living facilities for the elderly,643,524
6,109,06109,6233,Continuing care retirement communities and assisted living facilities for the elderly,189,154
6,111,06111,6233,Continuing care retirement communities and assisted living facilities for the elderly,3846,3133
6,113,06113,6233,Continuing care retirement communities and assisted living facilities for the elderly,1011,824
6,115,06115,6233,Continuing care retirement communities and assisted living facilities for the elderly,114,93
8,1,08001,6233,Continuing care retirement communities and assisted living facilities for the elderly,391,319
8,5,08005,6233,Continuing care retirement communities and assisted living facilities for the elderly,1942,1582
8,13,08013,6233,Continuing care retirement communities and assisted living facilities for the elderly,973,793
8,14,08014,6233,Continuing care retirement communities and assisted living facilities for the elderly,177,144
8,31,08031,6233,Continuing care retirement communities and assisted living facilities for the elderly,2623,2137
8,35,08035,6233,Continuing care retirement communities and assisted living facilities for the elderly,1157,943
8,41,08041,6233,Continuing care retirement communities and assisted living facilities for the elderly,1908,1554
8,43,08043,6233,Continuing care retirement communities and assisted living facilities for the elderly,55,45
8,45,08045,6233,Continuing care retirement communities and assisted living facilities for the elderly,37,30
8,59,08059,6233,Continuing care retirement communities and assisted living facilities for the elderly,1935,1576
8,63,08063,6233,Continuing care retirement communities and assisted living facilities for the elderly,21,17
8,69,08069,6233,Continuing care retirement communities and assisted living facilities for the elderly,1662,1354
8,77,08077,6233,Continuing care retirement communities and assisted living facilities for the elderly,654,533
8,83,08083,6233,Continuing care retirement communities and assisted living facilities for the elderly,9,7
8,101,08101,6233,Continuing care retirement communities and assisted living facilities for the elderly,606,494
8,123,08123,6233,Continuing care retirement communities and assisted living facilities for the elderly,652,531
9,1,09001,6233,Continuing care retirement communities and assisted living facilities for the elderly,589,480
9,3,09003,6233,Continuing care retirement communities and assisted living facilities for the elderly,475,387
9,5,09005,6233,Continuing care retirement communities and assisted living facilities for the elderly,71,58
9,7,09007,6233,Continuing care retirement communities and assisted living facilities for the elderly,95,77
9,9,09009,6233,Continuing care retirement communities and assisted living facilities for the elderly,420,342
9,11,09011,6233,Continuing care retirement communities and assisted living facilities for the elderly,138,112
9,13,09013,6233,Continuing care retirement communities and assisted living facilities for the elderly,8,7
9,15,09015,6233,Continuing care retirement communities and assisted living facilities for the elderly,4,3
10,1,10001,6233,Continuing care retirement communities and assisted living facilities for the elderly,221,180
10,3,10003,6233,Continuing care retirement communities and assisted living facilities for the elderly,1421,1158
10,5,10005,6233,Continuing care retirement communities and assisted living facilities for the elderly,358,292
11,1,11001,6233,Continuing care retirement communities and assisted living facilities for the elderly,2800,2281
12,1,12001,6233,Continuing care retirement communities and assisted living facilities for the elderly,1245,1014
12,5,12005,6233,Continuing care retirement communities and assisted living facilities for the elderly,274,223
12,9,12009,6233,Continuing care retirement communities and assisted living facilities for the elderly,2244,1828
12,11,12011,6233,Continuing care retirement communities and assisted living facilities for the elderly,6376,5194
12,15,12015,6233,Continuing care retirement communities and assisted living facilities for the elderly,1121,913
12,17,12017,6233,Continuing care retirement communities and assisted living facilities for the elderly,508,414
12,19,12019,6233,Continuing care retirement communities and assisted living facilities for the elderly,685,558
12,21,12021,6233,Continuing care retirement communities and assisted living facilities for the elderly,3648,2972
12,23,12023,6233,Continuing care retirement communities and assisted living facilities for the elderly,203,165
12,31,12031,6233,Continuing care retirement communities and assisted living facilities for the elderly,3588,2923
12,33,12033,6233,Continuing care retirement communities and assisted living facilities for the elderly,1029,838
12,35,12035,6233,Continuing care retirement communities and assisted living facilities for the elderly,306,249
12,53,12053,6233,Continuing care retirement communities and assisted living facilities for the elderly,1041,848
12,55,12055,6233,Continuing care retirement communities and assisted living facilities for the elderly,554,451
12,57,12057,6233,Continuing care retirement communities and assisted living facilities for the elderly,3660,2982
12,61,12061,6233,Continuing care retirement communities and assisted living facilities for the elderly,1605,1308
12,69,12069,6233,Continuing care retirement communities and assisted living facilities for the elderly,2087,1700
12,71,12071,6233,Continuing care retirement communities and assisted living facilities for the elderly,4767,3884
12,73,12073,6233,Continuing care retirement communities and assisted living facilities for the elderly,1265,1031
12,79,12079,6233,Continuing care retirement communities and assisted living facilities for the elderly,168,137
12,81,12081,6233,Continuing care retirement communities and assisted living facilities for the elderly,2353,1917
12,83,12083,6233,Continuing care retirement communities and assisted living facilities for the elderly,876,714
12,85,12085,6233,Continuing care retirement communities and assisted living facilities for the elderly,824,671
12,86,12086,6233,Continuing care retirement communities and assisted living facilities for the elderly,4754,3873
12,89,12089,6233,Continuing care retirement communities and assisted living facilities for the elderly,309,252
12,91,12091,6233,Continuing care retirement communities and assisted living facilities for the elderly,314,256
12,95,12095,6233,Continuing care retirement communities and assisted living facilities for the elderly,3302,2690
12,97,12097,6233,Continuing care retirement communities and assisted living facilities for the elderly,835,680
12,99,12099,6233,Continuing care retirement communities and assisted living facilities for the elderly,9764,7955
12,101,12101,6233,Continuing care retirement communities and assisted living facilities for the elderly,1504,1225
12,103,12103,6233,Continuing care retirement communities and assisted living facilities for the elderly,7695,6269
12,105,12105,6233,Continuing care retirement communities and assisted living facilities for the elderly,2234,1820
12,107,12107,6233,Continuing care retirement communities and assisted living facilities for the elderly,90,73
12,109,12109,6233,Continuing care retirement communities and assisted living facilities for the elderly,1133,923
12,111,12111,6233,Continuing care retirement communities and assisted living facilities for the elderly,779,635
12,113,12113,6233,Continuing care retirement communities and assisted living facilities for the elderly,158,129
12,115,12115,6233,Continuing care retirement communities and assisted living facilities for the elderly,5336,4347
12,117,12117,6233,Continuing care retirement communities and assisted living facilities for the elderly,2205,1796
12,119,12119,6233,Continuing care retirement communities and assisted living facilities for the elderly,651,530
12,127,12127,6233,Continuing care retirement communities and assisted living facilities for the elderly,3311,2697
